date,open,high,low,close,volume
25.11.2024 02:45:00.000,1.04865,1.04881,1.04839,1.04872,1398.0700000000002
25.11.2024 03:00:00.000,1.04871,1.04872,1.04816,1.04836,2598.48
25.11.2024 03:15:00.000,1.04837,1.04884,1.04828,1.04840,1732.1200000000001
25.11.2024 03:30:00.000,1.04839,1.04855,1.04815,1.04818,1699.0700000000002
25.11.2024 03:45:00.000,1.04817,1.04818,1.04760,1.04782,1346.6699999999998
25.11.2024 04:00:00.000,1.04781,1.04801,1.04772,1.04777,1541.18
25.11.2024 04:15:00.000,1.04775,1.04789,1.04747,1.04787,1450.7700000000002
25.11.2024 04:30:00.000,1.04786,1.04813,1.04785,1.04797,985.95
25.11.2024 04:45:00.000,1.04797,1.04808,1.04769,1.04793,1197.25
25.11.2024 05:00:00.000,1.04794,1.04833,1.04765,1.04825,1942.5600000000002
25.11.2024 05:15:00.000,1.04824,1.04824,1.04754,1.04781,1350.77
25.11.2024 05:30:00.000,1.04781,1.04795,1.04773,1.04782,1482.3600000000004
25.11.2024 05:45:00.000,1.04783,1.04808,1.04767,1.04794,1456.5800000000002
25.11.2024 06:00:00.000,1.04794,1.04800,1.04752,1.04783,2528.49
25.11.2024 06:15:00.000,1.04784,1.04894,1.04781,1.04874,2956.37
25.11.2024 06:30:00.000,1.04873,1.04897,1.04849,1.04872,2045.3899999999999
25.11.2024 06:45:00.000,1.04872,1.04877,1.04823,1.04837,1411.06
25.11.2024 07:00:00.000,1.04836,1.04839,1.04740,1.04766,4727.4
25.11.2024 07:15:00.000,1.04766,1.04768,1.04696,1.04708,4026.7799999999993
25.11.2024 07:30:00.000,1.04707,1.04712,1.04637,1.04648,2784.09
25.11.2024 07:45:00.000,1.04649,1.04662,1.04500,1.04506,3981.14
25.11.2024 08:00:00.000,1.04506,1.04595,1.04494,1.04532,5580.59
25.11.2024 08:15:00.000,1.04531,1.04541,1.04491,1.04535,4473.81
